,B#4,F#-1,C8,F6,B1,F##2,F##6,F#0,G-1,E#5,A-6,B#6,D-5,B3,C#~4,A7,B-2,E--6,B--6,D#0,A-0,G##1,A0,D4,D1,E#2,E4,E-4,B#2,G#7,C-5,C-3,D8,E--2,B-5,G-4,C-2,C##4,F-`4,E--3,D#2,G4,A#-1,B-4,F##5,F#4,F#6,B--2,G3,D##4,E--5,A##2,D2,A--4,A#6,A-3,A--6,G#0,B-6,F#1,D-2,C##3,A-2,C#5,F#7,F2,D##3,A2,E--4,D#7,E#7,D#4,F3,E-6,E8,E5,D-1,A--3,B7,D-3,C6,C#1,F-2,F-4,D--5,C5,C-6,C1,E1,A4,D5,A-5,C4,F1,A##3,A--1,B#3,A##5,G#2,G-6,B#1,D6,G-5,C-7,C##5,D-4,F##4,D--1,F-5,G-2,G6,E#3,B-7,G#5,G##2,C2,G-`4,E-2,G#6,G#1,D##6,E-1,C##7,E6,C#2,E#6,D-6,B-1,G5,D3,C-4,D#3,B#0,C##2,G#4,E-7,E3,G##4,A--2,B2,F0,F##7,F#2,B5,G-0,F##1,A6,A#2,A-4,F8,E-5,C#4,A#7,A--5,G1,A-7,G--5,E0,E-3,A1,C-8,F-6,A#3,G7,G##3,B6,A3,A5,E#1,E2,F-7,F7,C##6,B#7,F#5,D#6,D-7,B4,D--4,E#8,C3,A#4,A#1,C##1,C#6,E#4,C7,F##3,G2,C#7,D#1,F5,D7,G##5,D#5,C#3,G0,B#5,B-3,B--4,C0,F-3,G#3,G-7,F#3,B--1,E7,A#5,B0,E--7,G-3,C-1,A##4,G##6,D##5,A-1,F-1,D0,F4,B-0,A#0,D##2,B--3,B--5
../MuseScore/15/6238635.musicxml,0.0,0,0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16.0,0.0,0,0,0,0,0.0,29.5,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0,0,8.833333333333334,0.0,0.0,0.0,0,0.0,0.0,41.5,0,32.08333333333333,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,144.0,0.0,0,20.0,0.0,0.0,0,0.0,20.5,0.0,0.0,0.0,0,88.41666666666667,0.0,0.0,0.0,64.83333333333334,34.666666666666664,0.0,100.0,0.0,0,0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,22.083333333333332,46.0,0.0,0.0,0,0,0.0,0.0,84.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,112.0,16.083333333333336,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,9.5,0,0,86.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,47.75000000000001,0.0,0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/6171255.musicxml,0.0,0,0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.5,1.0,0,0.0,3.5,0.0,0,0,0,0,0.0,19.125,0.0,0.0,0.25,12.5,0.0,0.0,0.0,0.25,0,0,17.625,2.25,0.0,0.0,0,0.0,0.0,6.75,0,21.25,0.0,3.0,0.0,0.0,4.833333333333334,0.0,0.0,0,0.0,0,0,3.625,0,0.0,0.0,0.0,0.0,0.0,0.25,0.625,0.0,3.5,0.0,0.75,0.0,0.0,0.0,0.0,19.833333333333336,0.625,0,5.208333333333333,0.0,0.0,0,0.0,9.625,0.0,0.0,0.0,0,35.0,0.875,0.0,0.0,7.0,21.791666666666668,4.75,30.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5.5,3.25,0.0,0.0,2.625,0.0,0,0.0,0.0,0.25,0.0,0,0.25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,1.125,0.0,19.333333333333332,6.625,0.25,0.0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.25,0.0,0.0,0,14.916666666666668,2.75,0.0,0,0.0,0.0,0,0.0,5.958333333333334,0.0,0,0.0,0.0,0.0,0.0,0.0,15.75,16.375,0.0,0,0.0,0,0.0,0,3.7083333333333335,0.0,0.0,2.0,0,0,6.25,0.0,0.0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,32.041666666666664,0.0,0,0.0,0.0,0.0,0.0,28.25,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/5661195.musicxml,0.0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0.125,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,5.0,0.0,0.0,3.625,0.75,0.0,0.0,0.0,0.0,0,0,3.375,0.0,0.0,0.0,0,0.0,0.0,0.375,0,5.25,0.0,3.625,0.0,0.0,4.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0,0.25,0.0,0.0,0,0.0,0.875,0.0,0.0,0.0,0,4.125,0.0,0.0,0.0,0.75,5.125,1.125,4.375,0.0,0,0,0.0,0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0,0.0,0.0,0.0,0.5,0,1.125,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.375,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,1.0,0,0,0.0,3.625,0.0,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,4.375,0.0,0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/5072755.musicxml,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,0,0.0,0.0,0.0,0,0,0,0,0.0,6.75,0.0,0.0,25.416666666666657,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,46.83333333333336,0,0.0,0.0,0.0,0.0,0.0,42.500000000000014,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666665,0.0,0,50.16666666666667,0.0,0.0,0,0.0,18.75,0.0,0.0,0.0,0,52.16666666666668,0.0,0.0,0.0,0.0,30.5,0.0,27.499999999999993,0.0,0,0,0.0,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,39.333333333333336,17.499999999999996,0.0,0.0,0,0,0.0,0.0,26.999999999999993,0.0,0.0,16.833333333333332,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.6666666666666665,0.0,0,0.0,0,0.0,0.0,0.0,16.0,0,0,36.25000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,13.166666666666673,0.0,0.0,24.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/6287595.musicxml,0.5,0,0,0.0,0.0,0.0,0.0,0,0.0,2.5,0.0,0.0,0.0,18.0,0,0.0,0.0,0.0,0,0,0,0,0.0,4.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,5.0,0.0,0.0,4.5,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,4.5,3.0,0.0,0,58.5,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,15.75,0.0,0.0,0.0,29.5,13.0,0.0,23.0,0.0,0,0,0.0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0,22.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,14.5,0.0,3.0,0,0,10.5,0.0,35.5,0.0,0.0,2.0,0.0,0.0,0.0,29.25,0,0.0,0.0,0.0,0.0,0,0.0,23.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,94.5,65.5,0.0,0.0,0.0,0,0.0,0,20.75,0.0,0.0,25.75,0,0,5.0,0.0,0.0,0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,3.5,3.5,0.0,1.25,0.0,0.0,0.0,0.0,10.5,0.0,6.5,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/6105915.musicxml,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0,0.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2.75,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.75,4.5,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,0.0,0.0,0,0,0.0,0.0,4.25,0.0,0.0,3.0,0.0,0.0,0.0,0.75,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0,0.0,0,0.0,0,1.25,0.0,0.0,2.5,0,0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/5715555.musicxml,0.0,0,0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0,0.0,0.0,0.0,0,0,0,0,0.0,13.75,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0,0.0,0.0,47.75,0,0.0,0.0,0.25,0.0,0.0,25.5,0.0,0.0,0,0.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,8.0,0.25,0,51.25,0.0,0.0,0,0.0,9.25,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,17.75,19.0,0.0,21.25,0.0,0,0,0.0,0,0.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,0.5,0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,15.75,3.0,0.0,0.0,0,0,0.25,0.0,15.0,0.0,0.0,2.5,0.0,0.0,0.0,6.0,0,0.0,0.75,0.0,1.0,0,0.5,0.0,0.0,0,4.5,0.0,0,0.0,0.0,1.5,0,0.0,0.0,0.0,0.0,0.75,6.0,4.25,0.0,0.5,0.0,0,0.0,0,0.75,0.0,0.0,15.25,0,0,15.0,0.0,0.0,0,0.0,0.0,0.5,0.0,9.0,0.0,0.0,18.75,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/5147415.musicxml,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.5,0,0.0,0.0,0.0,0,0,0,0,0.0,1.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0,5.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,2.5,8.5,0.0,7.5,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0,0,0.5,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0,0.0,0,0.5,0.0,0.0,1.5,0,0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/6190695.musicxml,0.0,0,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.5,0,0.0,1.0,0.0,0,0,0,0,0.0,11.0,0.0,0.0,8.5,1.5,0.0,0.0,0.0,0.0,0,0,0.5,0.0,0.0,0.0,0,0.0,0.5,9.5,0,4.0,0.0,4.5,0.0,0.0,16.0,0.0,0.0,0,2.5,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.5,0.0,0,8.5,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0,17.5,25.0,3.0,7.5,0.0,0,0,0.5,0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,14.0,13.0,0.0,0.5,0,0,4.5,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.5,0,0.0,0.0,0.5,0.0,0,7.0,5.5,0.0,0,1.0,0.0,0,0.0,1.5,1.0,0,0.0,1.0,0.0,0.0,0.0,9.5,13.5,0.0,2.0,0.0,0,0.0,0,5.5,0.0,0.0,9.5,0,0,3.0,1.0,0.0,0,2.0,0.5,0.0,0.0,10.5,0.0,0.0,4.0,0.0,0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.5,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
../MuseScore/15/6234015.musicxml,0.0,0,0,8.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.5,0,0.0,135.06041666666667,0.0,0,0,0,0,0.0,123.74999999999999,2.0,0.0,69.58333333333334,0.75,0.0,0.0,0.0,0.0,0,0,24.208333333333332,0.0,0.0,0.0,0,0.0,0.0,44.458333333333336,0,41.33333333333333,0.0,9.416666666666666,3.5,0.0,78.26041666666667,0.0,0.0,0,71.25,0,0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,19.5,0.0,21.0,0.0,105.75,0.0,0.0,0.0,0.0,216.82708333333335,0.0,0,57.16666666666667,0.0,0.0,0,0.0,8.75,0.0,0.0,0.0,0,27.25,0.0,0.0,0.0,110.08333333333334,143.37499999999997,0.0,30.0,0.0,0,0,0.0,0,7.0,0.0,0.0,33.791666666666664,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.5,0.5,0,4.166666666666666,0,13.333333333333332,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,34.95833333333333,329.0604166666667,0.0,5.5,0,0,8.0,0.0,66.67708333333334,0.0,0.0,10.75,0.0,0.0,2.5,10.75,0,0.0,6.583333333333332,0.0,1.5,0,0.0,29.666666666666664,0.0,0,0.0,0.0,0,0.0,0.0,5.5,0,0.0,0.0,0.0,0.0,0.0,202.41666666666669,87.00000000000003,0.0,11.0,0.0,2/3,0.0,0,17.458333333333332,0.0,0.0,9.5,0,0,35.06041666666667,0.0,0.0,0,7.5,0.0,0.0,0.0,4.833333333333333,0.0,0.0,68.62500000000001,2.583333333333333,0,1.25,24.14375,0.0,0.0,85.0,0.0,0.0,0.0,6.75,0.0,19.166666666666668,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,82.20833333333331,0.0,0.0,0.0,0.0,0.0
